,labels,text
88,de, [7] In ihrem ganzen Verbreitungsgebiet bildet die Sitka-Fichte Mischbestände mit der Westamerikanischen Hemlocktanne ( Tsuga heterophylla ) und nur selten Reinbestände
89,de," Richtung Süden werden vor allem mit der Douglasie ( Pseudotsuga menziesii ), mit Lawsons Scheinzypresse ( Chamaecyparis lawsoniana ), der Küsten-Kiefer ( Pinus contorta ), der Westlichen Weymouths-Kiefer ( Pinus monticola ), dem Küstenmammutbaum ( Sequoia sempervirens ) und dem Riesen-Lebensbaum ( Thuja plicata ) Mischbestände gebildet"
90,de," Nach Norden zu werden diese durch die Nootka-Scheinzypresse ( Xanthocyparis nootkatensis ), die Berg-Hemlocktanne ( Tsuga mertensiana ) und durch die Felsengebirgs-Tanne ( Abies lasiocarpa ) abgelöst"
91,de," Der Unterwuchs wird hauptsächlich durch den Schwertfarn ( Polystichum munitum ), Maianthemum dilatatum , das Sibirische Tellerkraut ( Claytonia sibirica ), Tiarella trifoliata , Viola glabella , Viola sempervirens , Prosartes smithii , die Shallon-Scheinbeere ( Gaultheria shallon ), Vaccinium parvifolium und durch Menziesia ferruginea gebildet"
92,de," An trockenen Standorten treten auch der Küsten-Rhododendron ( Rhododendron macrophyllum ) und Vaccinium ovatum auf, während an feuchten Standorten der Wald-Frauenfarn ( Athyrium filix-femina ), der Rippenfarn ( Blechnum spicant ), der Breitblättrige Dornfarn ( Dryopteris dilatata ), die Igelkraftwurz ( Oplopanax horridus ) und Sambucus callicarpa auftreten"
93,de, [2] Die Sitka-Fichte wurde als Nutzholzbaum nach Europa eingeführt und dort erstmals im 19
94,de, Jahrhundert angepflanzt
95,de," Sitka-Fichtenplantagen sind in Großbritannien und Irland zu einem dominierenden Waldtyp geworden, der in Großbritannien 25 % und in Irland 52 % der Waldfläche ausmacht"
96,de," Sitka-Fichtenwälder gibt es auch in Frankreich und Dänemark, und die Pflanze wurde im frühen 20"
97,de, Jahrhundert in Island und Norwegen eingeführt
98,de, [8] [9] Im Guinness Buch der Rekorde ist eine einzelne Sitka-Fichte auf Campbell Island als entlegenster Baum der Welt aufgeführt
99,de, Die Fichte steht rund 220 Kilometer vom nächsten Baum entfernt
100,de, Nutzung [ Bearbeiten | Quelltext bearbeiten ] Das leichte und feste Holz der Sitka-Fichte lässt sich gut bearbeiten und ist in Nordamerika trotz seiner geringen Dauerhaftigkeit und seiner Neigung zu verwerfen sehr geschätzt
101,de, [6] Es findet bei entsprechender Qualität unter anderem als Klangholz im Musikinstrumentenbau ( Gitarren ) oder als Masten für Segelschiffe Verwendung
102,de," Holz von geringer Qualität wird als Bau-, Faser- oder Papierholz genutzt"
103,de," Louis , das Flugzeug mit dem Charles Lindbergh den Atlantik überquerte, bestand zu großen Teilen aus Sitkafichtenholz"
104,de," [1] → Hauptartikel : Fichtenholz Die Indianer der Pazifikküste, wie Küsten-Salish , Nuu-chah-nulth und Kwakwaka'wakw , verarbeiten Wurzelfasern traditionell zu Körben und Hüten"
105,de," Auch wurden Fasern zu Kleidung verarbeitet, insbesondere zu regenabweisenden Umhängen"
106,de, Das Harz wurde auch zum Abdichten von Kanus verwendet
107,de," Die harzreichen Äste fanden als Brennmaterial Verwendung, waren aber auch ein wichtiges Requisit ritueller Handlungen und Tänze"
108,de," Die innere Rinde ist essbar, sowohl frisch, als auch zu einer Art Plätzchen verbacken, oder als Verdickungsmittel in Suppen"
109,de," Zudem diente das Holz als Mittel zur Wundheilung, wurde gegen Husten und Lungenkrankheiten eingesetzt, indem man es kaute"
110,de," [10] Wegen ihrer breiten, sperrigen und wenig harmonischen Krone wird die Sitka-Fichte kaum als Park- und Gartenbaum angepflanzt"
111,de, [11] Erfolgreiche Anbauten erfolgen vor allem in luftfeuchten Küstenregionen und in regenreichem Bergland
112,de, Die Sitka-Fichte wird in geringem Umfang seit 1880 in Mitteleuropa angebaut
113,de, [1] Wegen der vermuteten geringen Standortansprüche geschah der Anbau vorwiegend auf anmoorigen Böden
114,de, Diese Anbauten waren wenig wirtschaftlich und sind aus heutiger Sicht ein Eingriff in das heimische Ökosystem
115,de," Auf besseren Standorten zeigt sie aber eine beeindruckende Massenleistung, die zumindest die Übernahme eines Teils der oft sehr zahlreich aufkommenden Naturverjüngung als Mischbaumart sinnvoll erscheinen lässt"
116,de, Krankheiten und Schädlinge [ Bearbeiten | Quelltext bearbeiten ] Windschur bei einer Sitka-Fichte Die wichtigsten abiotischen Schadfaktoren stellen Sturmschäden dar
117,de, Sturmwurf und -bruch treten besonders häufig an nach Südwest exponierten Bestandsrändern auf
118,de," Aufgrund der dünnen Borke und des nahe der Oberfläche liegenden Wurzelsystems reagiert die Sitka-Fichte sehr empfindlich auf Waldbrände, welche in ihrem Verbreitungsgebiet allerdings nur selten auftreten"
119,de," [12] Wurzelfäule wird vor allem durch den Gemeinen Hallimasch ( Armillaria mellea ), den Wurzelschwamm ( Heterobasidion annosum ), den Kiefern-Braunporling ( Phaeolus schweinitzii ), und durch Poria weirii verursacht"
120,de, Stamm- und Stockfäule -Erreger treten vor allem an Bäumen mit einem Alter von über 200 Jahren auf
121,de," Die häufigsten Erreger sind der Fichtenporling ( Fomitopsis pinicola ), der Kiefern-Braunporling ( Phaeolus schweinitzii ), der Kiefernfeuerschwamm ( Phellinus pini ), und Lentinus kauffmanii "
122,de, Die Sitka-Fichte wird an den Nadeln häufig von Pilzarten aus der Gattung Chrysomyxa befallen
123,de," Besonders an küstennahen Beständen in Washington und Alaska treten krebsartige Stammwucherungen auf, deren Ursache noch nicht geklärt wurde"
124,de," Als nennenswerter tierischer Schädling wird der Käfer Pissodes sitchensis genannt, der die Rinde von jungen Bäumen benagt"
125,de,"
Dabei ist sie resistent gegen die permanente Einwirkung von salzhaltigen Seewinden, die zwar eine Windschur bewirken können, aber ansonsten kaum Schäden verursachen"
126,de," [13] Schädlinge und Krankheiten in Europa [ Bearbeiten | Quelltext bearbeiten ] In Europa sind nur wenige der Schadursachen, die im natürlichen Verbreitungsgebiet vorkommen, von Bedeutung"
127,de," Aufgrund der abweichenden Klima- und Bodenverhältnisse treten jedoch Schäden und Krankheiten auf, die im natürlichen Verbreitungsgebiet kaum auffindbar sind"
128,de, Zu den häufigsten gehören dabei Frost- und Dürreschäden
129,de, Der Pilz Rhizina undulata infiziert die Wurzeln und tritt meist erst nach Hitzeeinwirkung auf
130,de, Stammkrebse werden durch Nectria cucurbitula hervorgerufen und treten in Deutschland in 42 von 120 Anbauflächen auf
131,de, Von den tierischen Schädlingen hat der Riesenbastkäfer ( Dendroctonus micans ) die größte Bedeutung
132,de, Die Sitkafichtenlaus ( Liosomaphis abietinum ) tritt nur relativ selten nach milden Wintern auf
133,de," Durch Saugaktivitäten dieser Art kommt es zuerst zu gelben Nadelflecken, dann zur Nadelbräunung und schließlich zum Nadelabfall"
134,de, Bei Massenvermehrungen können ganze Bestände entnadelt werden
135,de," Seltener befallen die Douglasienlaus ( Gilletteella cooleyi ), der Blattrandkäfer Strophosomus capitatus und der Pilz Lophodermium piceae die Nadeln"
136,de, Die Sitka-Fichte wird seltener von Reh - und Rotwild verbissen als die Gemeine Fichte ( Picea abies )
137,de," [14] Illustration aus The North American sylva , Tafel"
138,de, CXVI Systematik [ Bearbeiten | Quelltext bearbeiten ] Taxonomie [ Bearbeiten | Quelltext bearbeiten ] Die Erstbeschreibung erfolgte 1833 unter dem Namen ( Basionym ) Pinus sitchensis durch den deutschen Botaniker August Gustav Heinrich von Bongard in Observations sur la végétation de l'île de Sitcha in Mémoires de l'Académie Impériale des Sciences de St
139,de," 6, Sciences mathématiques, physiques et naturelles"
140,de," Der französische Botaniker Élie Abel Carrière ordnete in Traité général des conifères ou déscription de toutes les espèces et variétés aujourd'hui connues, avec leur synonymie, l'indication des procédés de culture et de multiplication qu'il convient de leur appliquer"
141,de, 260 diese Art 1855 unter dem heute gültigen Namen Picea sitchensis in die Gattung der Fichten ( Picea ) ein
142,de, [15] [16] [17] Weitere Synonyme für Picea sitchensis (Bong
143,de,) Carrière sind: Abies falcata Raf
144,de," , Picea falcata (Raf"
145,de," , Picea menziesii (Douglas ex D"
146,de,"Don) Carrière , Pinus menziesii Douglas ex D"
147,de,"Don , Pinus sitchensis Bong"
148,de," , Tsuga sitchensis (Bong"
149,de,") Regel , Abies menziesii (Douglas ex D"
150,de, 1835 non Mirbel 1825 – Mirbel schlug diesen Namen 1825 für die Douglasie ( Pseudotsuga menziesii ) vor
151,de, Äußere Systematik [ Bearbeiten | Quelltext bearbeiten ] Die Picea sitchensis gehört zur Serie Ajanenses aus der Sektion Sitchenses innerhalb Untergattung Casicta innerhalb der Gattung Picea 
152,de," Hybride [ Bearbeiten | Quelltext bearbeiten ] In ihrem nördlichen Verbreitungsgebiet hybridisiert die Sitka-Fichte ( Picea sitchensis ) mit der Weiß-Fichte ( Picea glauca ), wodurch Picea × lutzii Little entsteht"
153,de, Des Weiteren kommt es zu natürlichen Kreuzungen mit der Engelmann-Fichte ( Picea engelmannii )
154,de," [18] Erfolgreiche Kreuzungsversuche fanden mit der Gemeinen Fichte ( Picea abies ), der Ajan-Fichte ( Picea jezoensis ), der Likiang-Fichte ( Picea likiangensis ) und mit der Serbischen Fichte ( Picea omorika ) statt"
155,de," [18] Quellen [ Bearbeiten | Quelltext bearbeiten ] Literatur [ Bearbeiten | Quelltext bearbeiten ] Peter Schütt, Horst Weisgerber, Hans J"
156,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume"
157,de, Verbreitung – Beschreibung – Ökologie – Nutzung; die große Enzyklopädie 
158,de," Nikol, Hamburg 2004, ISBN 3-933203-80-5 , S"
159,de, Reinhard Schober : Die Sitka-Fichte
160,de, Eine biologisch-ertragskundliche Untersuchung 
161,de," Schriftenreihe der Forstlichen Fakultät der Universität Göttingen und Mitteilungen der Niedersächsischen Forstlichen Versuchsanstalt, Band 24/25"
162,de," Sauerländer, Frankfurt am Main 1962"
163,de," Einzelnachweise [ Bearbeiten | Quelltext bearbeiten ] ↑ a b c Peter Schütt, Horst Weisgerber, Hans J"
164,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
165,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
166,de, Harris: Picea sitchensis (Bong
167,de, Volume 1 bei Northeastern Area State & Private Forestry ( Memento vom 15
168,de," Juli 2007 im Internet Archive ) ↑ a b Peter Schütt, Horst Weisgerber, Hans J"
169,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
170,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
171,de," ↑ a b Peter Schütt, Horst Weisgerber, Hans J"
172,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
173,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
174,de, ↑ Picea sitchensis bei Tropicos
175,de, In: IPCN Chromosome Reports 
176,de," Missouri Botanical Garden, St"
177,de," ↑ a b Peter Schütt, Horst Weisgerber, Hans J"
178,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
179,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
180,de," ↑ Peter Schütt, Horst Weisgerber, Hans J"
181,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
182,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
183,de, Perks: Sitka spruce (Picea sitchensis) forests in Atlantic Europe: changes in forest management and possible consequences for carbon sequestration 
184,de,564383 ( Online [abgerufen am 4
185,de," ↑ Houston Durrant, T"
186,de,", de Rigo; Caudullo, G"
187,de,": ""Picea sitchensis;; in Europe: distribution, habitat, usage and threats"""
188,de," 2016, abgerufen am 1"
189,de, April 2021 (englisch)
190,de, ↑ Näheres zum Gebrauch: Daniel Moerman: Native American ethnobotany
191,de," 1998 und Sitka Spruce , hrsg"
192,de, vom United States Department of Agriculture
193,de," Natural Resources Conservation Service, 2003, S"
194,de," ↑ Peter Schütt, Horst Weisgerber, Hans J"
195,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
196,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
197,de, ↑ Botanical and Ecological Characteritics of Picea sitchensis bei Fire Effects Information System = FEIS
198,de," ↑ Peter Schütt, Horst Weisgerber, Hans J"
199,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
200,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
201,de," ↑ Peter Schütt, Horst Weisgerber, Hans J"
202,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
203,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
204,de," ↑ Elie Abel Carriere: Traité général des conifères ou déscription de toutes les espèces et variétés aujourd'hui connues, avec leur synonymie, l'indication des procédés de culture et de multiplication qu'il convient de leur appliquer"
205,de, ) ↑ Picea sitchensis bei Tropicos
206,de," Missouri Botanical Garden, St"
207,de, Louis Abgerufen am 16
208,de," ↑ Picea sitchensis im Germplasm Resources Information Network (GRIN), USDA , ARS , National Genetic Resources Program"
209,de," National Germplasm Resources Laboratory, Beltsville, Maryland"
210,de," ↑ a b Peter Schütt, Horst Weisgerber, Hans J"
211,de," Schuck, Ulla Lang, Bernd Stimm, Andreas Roloff: Lexikon der Nadelbäume "
212,de," Nikol, Hamburg 2008, ISBN 3-933203-80-5 , S"
213,de," Weblinks [ Bearbeiten | Quelltext bearbeiten ] Commons : Sitka-Fichte ( Picea sitchensis ) – Album mit Bildern, Videos und Audiodateien Picea sitchensis in der Roten Liste gefährdeter Arten der IUCN 2008"
214,de," Eingestellt von: Conifer Specialist Group, 1998"
215,de, Thomas Meyer: Datenblatt mit Bestimmungsschlüssel und Fotos bei Flora-de: Flora von Deutschland (alter Name der Webseite: Blumen in Schwaben )
216,de, Dieser Artikel wurde am 21
217,de, August 2009 in dieser Version in die Liste der lesenswerten Artikel aufgenommen
218,de, Abgerufen von „ https://de
219,de,php?title=Sitka-Fichte&oldid=217440578 “ Kategorien : Wikipedia:Lesenswert Fichten Baum
220,es,"De Wikipedia, la enciclopedia libre Ir a la navegación Ir a la búsqueda Beierochelifer geoffroyi Taxonomía Reino : Animalia Filo : Arthropoda Subfilo: Chelicerata Clase : Arachnida Orden : Pseudoscorpionida Familia : Cheliferidae Género : Beierochelifer Especie : B"
221,es," geoffroyi Heurtault, 1981 [ editar datos en Wikidata ] Beierochelifer geoffroyi es una especie de arácnido del orden Pseudoscorpionida de la familia Cheliferidae "
222,es, Distribución geográfica [ editar ] Se encuentra en Francia 
223,es, [ 1 ] ​ Referencias [ editar ] ↑ [1] (en inglés)
224,es, Texas A&M University
225,es, Control de autoridades Proyectos Wikimedia Datos: Q2893960 Bases de datos taxonómicas ADW : Beierochelifer_geoffroyi EOL : 1167664 EUNIS : 92624 Fauna Europaea : 395210 GBIF : 2126804 ITIS : 748310 uBio: 6872976 Datos: Q2893960 Obtenido de « https://es
226,es,php?title=Beierochelifer_geoffroyi&oldid=114238129 » Categorías : Beierochelifer Arácnidos de Francia
227,es,"De Wikipedia, la enciclopedia libre Ir a la navegación Ir a la búsqueda Chrysolina grancanariensis Taxonomía Reino : Animalia Filo : Arthropoda Clase : Insecta Orden : Coleoptera Familia : Chrysomelidae Género : Chrysolina Especie : Chrysolina grancanariensis Lindberg, 1953 [ editar datos en Wikidata ] Chrysolina grancanariensis es un insecto coleóptero de la familia Chrysomelidae "
228,es, Fue descrita científicamente por primera vez en 1953 por Lindberg
229,es," [ 1 ] ​ Referencias [ editar ] ↑ Hallan, Joel Kenneth (6 de junio de 2010)"
230,es, «Synopsis of the described Coleoptera of the World» 
231,es, Biology Catalog de la Universidad de Texas A&M ‎ (en inglés) 
232,es, Archivado desde el original el 2016
233,es, Control de autoridades Proyectos Wikimedia Datos: Q2751799 Bases de datos taxonómicas BioLib : 241811 EUNIS : 262007 Fauna Europaea : 242161 GBIF : 4459988 Datos: Q2751799 Obtenido de « https://es
234,es,php?title=Chrysolina_grancanariensis&oldid=141122637 » Categoría : Chrysolina
235,de,"aus Wikipedia, der freien Enzyklopädie Zur Navigation springen Zur Suche springen Agentur der Europäischen Union für Flugsicherheit EASA Logo der EASA Englische Bezeichnung European Union Aviation Safety Agency Französische Bezeichnung Agence européenne de la sécurité aérienne Organisationsart Agentur der Europäischen Union Status Einrichtung des europäischen öffentlichen Rechts mit eigener Rechtspersönlichkeit Sitz der Organe Köln , Deutschland Vorsitz Patrick Ky (Exekutivdirektor) [1] Gründung 28"
236,de, September 2003 [2] Website: www
